source,legend,value,target
Judo,KE,0.044192731,Kenya (KE)
Judo,KR,0.020462633,South Korea (KR)
Judo,NL,1.010298103,Netherlands (NL)
Judo,NZ,0.114909011,New Zealand (NZ)
Judo,RU,0.82883342,Russia (RU)
Judo,SE,0.164297236,Sweden (SE)
Judo,UA,0.136188591,Ukraine (UA)
Judo,US,0.226200945,United States (US)
Judo,UZ,3.039491417,Uzbekistan (UZ)
Judo,ZA,0.047788727,South Africa (ZA)
Modern pentathlon,AR,0.063562013,Argentina (AR)
Modern pentathlon,AU,0.1113843,Australia (AU)
Modern pentathlon,BR,0.107322689,Brazil (BR)
Modern pentathlon,CA,0.021744619,Canada (CA)
Modern pentathlon,CH,0.022937128,Switzerland (CH)
Modern pentathlon,DE,0.059594949,Germany (DE)
Modern pentathlon,ES,0.007048931,Spain (ES)
Modern pentathlon,FR,0.348783172,France (FR)
Modern pentathlon,GB,0.029112014,Great Britain (GB)
Modern pentathlon,HU,0.189335378,Hungary (HU)
Modern pentathlon,IT,0.017653269,Italy (IT)
Modern pentathlon,RU,0.006513647,Russia (RU)
Modern pentathlon,US,0.006432298,United States (US)
Rhythmic gymnastics,AR,0.033934715,Argentina (AR)
Rhythmic gymnastics,AU,0.029474298,Australia (AU)
Rhythmic gymnastics,BR,0.018328375,Brazil (BR)
Rhythmic gymnastics,CA,0.022896379,Canada (CA)
Rhythmic gymnastics,CO,0.026263904,Colombia (CO)
Rhythmic gymnastics,DE,0.014604624,Germany (DE)
Rhythmic gymnastics,ES,0.241310316,Spain (ES)
Rhythmic gymnastics,FR,0.074641815,France (FR)
Rhythmic gymnastics,GB,0.009250097,Great Britain (GB)
Rhythmic gymnastics,GR,0.097088878,Greece (GR)
Rhythmic gymnastics,HU,0.02144745,Hungary (HU)
Rhythmic gymnastics,IT,0.120877455,Italy (IT)
Rhythmic gymnastics,JP,0.256481976,Japan (JP)
Rhythmic gymnastics,KZ,0.096373424,Kazakhstan (KZ)
Rhythmic gymnastics,KR,1.665006611,South Korea (KR)
Rhythmic gymnastics,NL,0.006025088,Netherlands (NL)
Rhythmic gymnastics,NZ,0.02302214,New Zealand (NZ)
Rhythmic gymnastics,RU,0.232728493,Russia (RU)
Rhythmic gymnastics,UA,0.154033159,Ukraine (UA)
Rhythmic gymnastics,US,0.027124484,United States (US)
Rhythmic gymnastics,UZ,0.184484757,Uzbekistan (UZ)
Rhythmic gymnastics,ZA,0.011690739,South Africa (ZA)
Rowing,AR,0.051356658,Argentina (AR)
Rowing,AU,0.185319979,Australia (AU)
Rowing,BR,0.009190978,Brazil (BR)
Rowing,CA,0.080737373,Canada (CA)
Rowing,CH,0.356560573,Switzerland (CH)
Rowing,CO,0.014873271,Colombia (CO)
Rowing,DE,0.264406873,Germany (DE)
Rowing,DK,0.546380729,Denmark (DK)
Rowing,ES,0.02494837,Spain (ES)
Rowing,FR,0.165446445,France (FR)
Rowing,GB,1.382410328,Great Britain (GB)
Rowing,GR,0.056656921,Greece (GR)
Rowing,HR,2.87496687,Croatia (HR)
Rowing,HU,0.017077098,Hungary (HU)
Rowing,IR,0.936220962,Iran (IR)
Rowing,IT,0.107562698,Italy (IT)
Rowing,NL,0.301042806,Netherlands (NL)
Rowing,NZ,3.066140968,New Zealand (NZ)
Rowing,RU,0.002600604,Russia (RU)
Rowing,SE,0.060794892,Sweden (SE)
Rowing,UA,0.008957689,Ukraine (UA)
Rowing,US,0.047673555,United States (US)
Rowing,ZA,0.014616142,South Africa (ZA)
Rugby sevens,AR,0.073974167,Argentina (AR)
Rugby sevens,AU,0.232995037,Australia (AU)
Rugby sevens,BR,0.014568854,Brazil (BR)
Rugby sevens,CA,0.18046007,Canada (CA)
Rugby sevens,CH,0.06727401,Switzerland (CH)
Rugby sevens,CO,0.00596761,Colombia (CO)
Rugby sevens,DE,0.021811996,Germany (DE)
Rugby sevens,ES,0.043503377,Spain (ES)
Rugby sevens,FR,0.269453838,France (FR)
Rugby sevens,GB,0.528274622,Great Britain (GB)
Rugby sevens,IT,0.041363221,Italy (IT)
Rugby sevens,JP,0.035311766,Japan (JP)
Rugby sevens,NL,0.030394661,Netherlands (NL)
Rugby sevens,NZ,1.522576638,New Zealand (NZ)
Rugby sevens,SE,0.009780317,Sweden (SE)
Rugby sevens,US,0.114327848,United States (US)
Rugby sevens,ZA,0.432060325,South Africa (ZA)
